feature,mean_abs_shap
DIFF_PLUS_MINUS_R20,0.2845892
HOME_PLUS_MINUS_R20,0.16114578
DIFF_WIN_STD,0.0715902
HOME_WIN_STD,0.07032991
DIFF_PLUS_MINUS_R10,0.06659212
AWAY_REST_DAYS,0.0632525
DIFF_BLK_R5,0.060920745
AWAY_TOV_R10,0.050534606
HOME_BLK_R20,0.04904577
AWAY_AST_R20,0.048988868
DIFF_BLK_R20,0.04480018
HOME_FT_PCT_R5,0.043422043
DIFF_PLUS_MINUS_R5,0.041410815
AWAY_FG_PCT_R20,0.040248364
DIFF_FT_PCT_R20,0.037505165
HOME_FG3_PCT_R20,0.036613077
HOME_BLK_R10,0.03660488
AWAY_FG_PCT_R5,0.035933524
HOME_BLK_R5,0.034690786
DIFF_AST_R10,0.033657372
HOME_AST_R20,0.0331833
DIFF_FG3_PCT_R10,0.032413274
AWAY_PLUS_MINUS_R20,0.032198157
AWAY_WIN_STD,0.031256698
HOME_TOV_R20,0.030966105
DIFF_REB_R10,0.030280815
HOME_FG_PCT_R20,0.030245114
AWAY_STL_R10,0.030102124
DIFF_FG_PCT_R5,0.030083116
DIFF_FG3_PCT_R5,0.029884199
